Business Date,  Fixed Income  , Deposits , Other liabilities , Secured Funding , Equities , Unsecured Funding ,,
10/9/2018," 3,329,987 "," 91,464,948 "," 2,958,798 "," 291,794 "," 464,708 "," 377,554 ",,
10/10/2018," 3,120,873 "," 78,934,161 "," 2,826,965 "," 287,846 "," 461,011 "," 369,405 ",,
10/11/2018," 3,519,524 "," 80,827,657 "," 2,898,766 "," 284,984 "," 450,444 "," 364,322 ",,
10/12/2018," 3,323,718 "," 78,036,408 "," 2,912,391 "," 284,337 "," 437,710 "," 366,371 ",,
10/15/2018," 3,197,535 "," 87,222,136 "," 2,806,626 "," 275,724 "," 437,734 "," 357,605 ",,
10/16/2018," 3,796,528 "," 86,727,296 "," 2,823,552 "," 290,281 "," 446,293 "," 362,414 ",,
10/17/2018," 3,308,494 "," 85,666,215 "," 2,844,362 "," 280,740 "," 452,171 "," 360,870 ",,
10/18/2018," 3,336,705 "," 83,716,594 "," 2,905,084 "," 289,068 "," 450,033 "," 365,999 ",,
10/19/2018," 3,633,292 "," 81,513,430 "," 2,900,330 "," 284,438 "," 439,849 "," 364,683 ",,
10/22/2018," 3,641,541 "," 82,611,408 "," 2,922,740 "," 288,200 "," 437,135 "," 370,225 ",,
10/23/2018," 3,694,926 "," 83,071,450 "," 2,981,342 "," 285,788 "," 433,317 "," 364,301 ",,
10/24/2018," 3,649,170 "," 88,127,716 "," 3,022,700 "," 283,820 "," 425,861 "," 360,578 ",,
10/25/2018," 3,745,089 "," 87,093,753 "," 3,042,875 "," 292,233 "," 425,772 "," 362,305 ",,
10/26/2018," 3,989,521 "," 87,377,927 "," 3,009,994 "," 295,713 "," 424,642 "," 359,265 ",,
10/29/2018," 4,040,590 "," 84,055,270 "," 2,970,423 "," 292,426 "," 422,690 "," 355,154 ",,
10/30/2018," 3,627,186 "," 83,315,117 "," 2,972,950 "," 286,868 "," 426,395 "," 358,040 ",,
10/31/2018," 3,576,236 "," 83,177,285 "," 3,207,109 "," 279,575 "," 428,836 "," 314,632 ",,
11/1/2018," 3,732,453 "," 81,876,277 "," 3,423,235 "," 287,961 "," 431,299 "," 365,810 ",,
11/2/2018," 3,747,135 "," 58,744,112 "," 3,283,808 "," 286,949 "," 441,152 "," 364,220 ",,
11/5/2018," 3,995,932 "," 79,503,628 "," 3,059,219 "," 292,790 "," 432,884 "," 355,133 ",,
11/6/2018," 3,934,594 "," 76,626,313 "," 2,969,306 "," 288,352 "," 436,421 "," 355,290 ",,
11/7/2018," 3,953,681 "," 77,823,560 "," 3,040,030 "," 295,450 "," 428,193 "," 359,264 ",,
11/8/2018," 3,923,385 "," 75,740,365 "," 3,078,918 "," 283,998 "," 438,191 "," 358,718 ",,
11/9/2018," 4,139,833 "," 80,604,351 "," 2,931,321 "," 287,811 "," 431,825 "," 353,986 ",,
11/12/2018," 4,153,557 "," 80,859,235 "," 3,170,667 "," 289,166 "," 429,368 "," 348,986 ",,
11/13/2018," 4,089,401 "," 77,761,428 "," 3,096,669 "," 294,668 "," 430,252 "," 350,324 ",,
11/14/2018," 4,023,759 "," 75,882,707 "," 3,106,650 "," 288,774 "," 426,988 "," 347,302 ",,
11/15/2018," 3,939,980 "," 56,117,116 "," 3,086,663 "," 289,516 "," 428,206 "," 345,387 ",,
11/16/2018," 4,604,596 "," 76,025,121 "," 3,088,432 "," 285,959 "," 425,826 "," 346,712 ",,
11/19/2018," 4,357,141 "," 72,676,874 "," 2,957,700 "," 274,340 "," 420,310 "," 342,059 ",,
11/20/2018," 4,542,833 "," 71,471,383 "," 2,981,562 "," 278,881 "," 424,213 "," 336,924 ",,
11/21/2018," 4,608,490 "," 73,087,034 "," 2,881,310 "," 277,639 "," 413,324 "," 332,555 ",,
11/22/2018," 4,614,706 "," 72,350,462 "," 5,363,151 "," 276,892 "," 414,500 "," 333,509 ",,
11/23/2018," 4,742,176 "," 73,258,947 "," 5,228,577 "," 276,202 "," 416,883 "," 322,756 ",,
11/26/2018," 4,568,834 "," 76,868,738 "," 5,264,590 "," 276,881 "," 420,084 "," 326,437 ",,
11/27/2018," 4,844,485 "," 79,206,161 "," 5,448,547 "," 285,035 "," 419,254 "," 320,176 ",,
11/28/2018," 4,622,207 "," 100,513,065 "," 5,610,125 "," 289,369 "," 418,588 "," 327,133 ",,
11/29/2018," 4,309,342 "," 102,663,127 "," 4,551,044 "," 273,265 "," 422,795 "," 336,653 ",,
11/30/2018," 4,544,919 "," 80,986,000 "," 5,952,241 "," 269,236 "," 425,067 "," 324,984 ",,
12/5/2018," 5,063,549 "," 77,618,970 "," 5,623,142 "," 290,340 "," 423,201 "," 334,954 ",,
12/6/2018," 4,981,240 "," 82,371,684 "," 5,498,411 "," 286,764 "," 420,338 "," 331,777 ",,
